city,state,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Haridwar,Uttarakhand,29.9457,78.1642,2025-11-23T14:00,58.8,62.2,3.5,179.0,30.2,528.0,Satisfactory
Vijayanagaram,Andhra Pradesh,18.1067,83.3956,2025-11-23T14:00,19.2,20.6,3.8,114.0,3.9,285.0,Good
Katihar,Bihar,25.5541,87.5529,2025-11-23T14:00,65.2,69.6,2.2,160.0,18.1,392.0,Moderate
Nagarcoil,Tamil Nadu,8.1833,77.4119,2025-11-23T14:00,6.2,6.3,6.7,65.0,6.4,238.0,Good
Sri Ganganagar,Rajasthan,29.9038,73.8772,2025-11-23T14:00,68.5,72.2,2.5,180.0,22.0,747.0,Moderate
Karawal Nagar,Delhi,28.7352,77.275,2025-11-23T14:00,99.2,101.5,11.1,211.0,48.2,645.0,Poor
Mango,Jharkhand,22.8124,86.2023,2025-11-23T14:00,82.7,86.6,11.0,195.0,61.0,521.0,Moderate
Thanjavur,Tamil Nadu,10.787,79.1378,2025-11-23T14:00,6.6,7.1,5.1,70.0,10.0,222.0,Good
Bulandshahr,Uttar Pradesh,28.4069,77.8498,2025-11-23T14:00,96.4,99.0,7.4,216.0,41.6,678.0,Poor
Uluberia,West Bengal,22.4744,88.1,2025-11-23T14:00,80.1,84.5,4.6,219.0,40.3,561.0,Moderate
Murwara,Madhya Pradesh,23.8343,80.3954,2025-11-23T14:00,83.8,93.6,1.3,149.0,13.1,333.0,Moderate
Sambhal,Uttar Pradesh,28.5869,78.5532,2025-11-23T14:00,91.7,94.8,4.0,201.0,30.1,604.0,Poor
Singrauli,Madhya Pradesh,24.1992,82.6645,2025-11-23T14:00,96.9,105.5,81.8,72.0,66.2,463.0,Poor
Nadiad,Gujarat,22.6916,72.8634,2025-11-23T14:00,67.3,70.8,7.1,166.0,25.5,384.0,Moderate
Secunderabad,Telangana,17.4399,78.4983,2025-11-23T14:00,18.7,19.6,2.2,144.0,6.8,308.0,Good
Naihati,West Bengal,22.8944,88.4228,2025-11-23T14:00,68.7,72.9,5.9,212.0,27.7,445.0,Moderate
Yamunanagar,Haryana,30.129,77.2674,2025-11-23T14:00,72.9,75.9,7.8,182.0,30.0,588.0,Moderate
Bidhan Nagar,West Bengal,22.5818,88.4146,2025-11-23T14:00,69.6,73.8,5.2,236.0,28.1,459.0,Moderate
Pallavaram,Tamil Nadu,12.9675,80.1491,2025-11-23T14:00,6.9,7.5,5.4,92.0,9.9,323.0,Good
Bidar,Karnataka,17.9104,77.5199,2025-11-23T14:00,17.1,18.0,1.2,126.0,4.1,253.0,Good
Munger,Bihar,25.3748,86.4735,2025-11-23T14:00,85.7,92.2,3.0,182.0,23.5,432.0,Moderate
